Iteracija = 80 : 2, sig: 0,  h1=10.0 h2=-2.3554980610932112 trosak=108
Iteracija = 118 : 2, sig: 0,  h1=6.768044942121894 h2=0.97681102441656 trosak=52
Iteracija = 138 : 2, sig: 0,  h1=10.0 h2=-4.22841278585095 trosak=112
Iteracija = 109 : 2, sig: 1,  h1=10.0 h2=-4.004742370331293 trosak=105
Iteracija = 58 : 2, sig: 1,  h1=10.0 h2=-2.210437174317949 trosak=90
Iteracija = 74 : 2, sig: 1,  h1=2.4596268559054826 h2=1.985763165046137 trosak=41
Iteracija = 63 : 2, sig: 1,  h1=9.923905648887473 h2=-1.4410737833665612 trosak=140
Iteracija = 75 : 2, sig: 1,  h1=4.022879388130416 h2=0.12513501799809756 trosak=43
Iteracija = 55 : 2, sig: 1,  h1=1.156817925517305 h2=-5.8575422154545835 trosak=40
Iteracija = 60 : 2, sig: 1,  h1=4.556641324883095 h2=1.9066547362417134 trosak=45
Iteracija = 65 : 2, sig: 1,  h1=9.536016793504851 h2=3.1534342783497973 trosak=93
Iteracija = 112 : 2, sig: 1,  h1=10.0 h2=3.049728078744167 trosak=93
Iteracija = 69 : 2, sig: 1,  h1=9.063429232171721 h2=-0.9281730666508855 trosak=121
Iteracija = 109 : 2, sig: 2,  h1=9.383450014084012 h2=-3.7477827980533704 trosak=141
Iteracija = 57 : 2, sig: 2,  h1=10.0 h2=-3.5836514515008484 trosak=94
Iteracija = 59 : 2, sig: 2,  h1=10.0 h2=-2.585651851020372 trosak=90
Iteracija = 107 : 2, sig: 2,  h1=10.0 h2=1.9794422935427798 trosak=93
Iteracija = 76 : 2, sig: 2,  h1=9.18345824930691 h2=-5.626667938904799 trosak=97
Iteracija = 101 : 2, sig: 2,  h1=10.0 h2=4.64047220595995 trosak=87
Iteracija = 69 : 2, sig: 2,  h1=10.0 h2=-8.242013019470813 trosak=110
Iteracija = 107 : 2, sig: 2,  h1=10.0 h2=9.42426473049166 trosak=115
Iteracija = 78 : 2, sig: 2,  h1=10.0 h2=9.561658833544627 trosak=94
Iteracija = 52 : 2, sig: 2,  h1=7.42633076537526 h2=-1.246286135702004 trosak=58
Iteracija = 54 : 3, sig: 0,  h1=9.459784561485314 h2=3.7276567833259935 trosak=99
Iteracija = 76 : 3, sig: 0,  h1=0.96696355742074 h2=1.7316538243654755 trosak=42
Iteracija = 104 : 3, sig: 0,  h1=8.399040300729158 h2=1.7297971012855973 trosak=75
Iteracija = 56 : 3, sig: 0,  h1=8.24014631831786 h2=-0.5455420822616975 trosak=72
Iteracija = 150 : 3, sig: 0,  h1=9.433788931389563 h2=2.889268709189057 trosak=125
Iteracija = 74 : 3, sig: 0,  h1=4.917253785058376 h2=0.3238721530945206 trosak=47
Iteracija = 55 : 3, sig: 0,  h1=10.0 h2=2.504913678517783 trosak=125
Iteracija = 94 : 3, sig: 0,  h1=3.0324656604948395 h2=-1.2691571638825494 trosak=45
Iteracija = 85 : 3, sig: 0,  h1=7.506544704657222 h2=-2.7732452414257347 trosak=73
Iteracija = 61 : 3, sig: 0,  h1=2.5615708554150274 h2=0.4714308672432759 trosak=42
Iteracija = 55 : 3, sig: 1,  h1=1.4603041410511755 h2=1.958167485864212 trosak=41
Iteracija = 141 : 3, sig: 1,  h1=10.0 h2=1.3905623780191705 trosak=118
Iteracija = 57 : 3, sig: 1,  h1=4.006051139948845 h2=6.85109029781526 trosak=44
Iteracija = 181 : 3, sig: 1,  h1=10.0 h2=-3.406055234209985 trosak=116
Iteracija = 166 : 3, sig: 1,  h1=5.732610513854697 h2=-6.8521299418325405 trosak=46
Iteracija = 100 : 3, sig: 1,  h1=2.1638692855455215 h2=1.7916199801675385 trosak=42
Iteracija = 53 : 3, sig: 1,  h1=4.985179181741669 h2=-4.9548724815265555 trosak=46
Iteracija = 156 : 3, sig: 1,  h1=10.0 h2=3.0694984182711393 trosak=136
Iteracija = 81 : 3, sig: 1,  h1=2.99296065738762 h2=-5.114575202038257 trosak=44
Iteracija = 198 : 3, sig: 1,  h1=9.801324843773466 h2=0.5907334230455863 trosak=116
Iteracija = 54 : 3, sig: 2,  h1=10.0 h2=1.1356810206856913 trosak=105
Iteracija = 107 : 3, sig: 2,  h1=10.0 h2=-17.529708398312767 trosak=123
